ID,N,E,C
93,stol,chair,en stol - stolen - stoler - stolen
94,støvsuger,vacuum cleaner,en støvsuger - støvsugeren - støvsugere - støvsugerne
95,stue,sitting‑room,en/ei stue - stuen (stua) - stuer - stuene
96,tak,"roof, ceiling",et tak - taket - tak - takene (taka)
97,tallerken,plate,en tallerken - tallerkenen - tallerkener - tallerkenene
98,tannbørste,toothbrush,en tannbørste - tannbørsten - tannbørster - tannbørstene
99,tannkrem,toothpaste,en tannkrem - tannkremen - tannkremer - tannkremene
100,tavle,blackboard,en/ei tavle - tavlen (tavla) - tavler - tavlene
101,telefon,telephone,en telefon - telefonen - telefoner - telefonene
102,televisjon,television,en televisjon - televisjonen - televisjoner - televisjonene
103,teppe,rug,et teppe - teppet - tepper - teppene (teppa)
104,tidsskrift,journal,et tidsskrift - tidsskriftet - tidsskrifter (tidsskrift) - tidsskriftene (tidsskrifta)
105,toalett,toilet,et toalett - toalettet - toaletter (toalett) - toalettene (toaletta)
106,tråd,thread,en tråd - tråden - tråder - trådene
107,trapp,stairs,en/ei trapp - trappen (trappa) - trapper - trappene
108,ullteppe,blanket,et ullteppe - ullteppet - ulltepper - ullteppene (ullteppa)
109,utgang,exit,en utgang - utgangen - utganger - utgangene
110,vase,vase,en vase - vasen - vaser - vasene
111,vaskemaskin,washing machine,en vaskemaskin - vaskemaskinen - vaskemaskiner - vaskemaskinene
112,vegg,wall,en vegg - veggen - vegger - veggene 
113,vindu,window,et vindu - vinduet - vinduer (vindu) - vinduene (vindua)
