ID,N,E,C
106,kjekk,nice; decent,kjekk (-t) - kjekke; kjekkere - kjekkest - kjekkeste
107,klartenkt,clear-thinking,klartenkt - klartenkte; mer - mest
108,klein,unwell,klein (-t) - kleine; kleinere - kleinest - kleineste
109,klissvåt,soaking wet,klissvåt (-tt) - klissvåte; mer - mest
110,klok,"wise, clever",klok (-t) - kloke; klokere - klokest - klokeste
111,komfortabel,comfortable,komfortabel (-t) - komfortable; mer - mest
112,komisk,comical,komisk - komiske; mer - mest
113,komplisert,complicated,komplisert - kompliserte;  mer - mest
114,korrekt,right,korrekt - korrekte; mer - mest
115,kort,short,kort - korte; kortere - kortest - korteste
116,kraftig,strong,kraftig - kraftige; kraftigere - kraftigst - kraftigste
117,krydret,spicy,
118,kvalm,sick,kvalm (-t) - kvalme; kvalmere - kvalmest - kvalmeste
119,lang,long,lang (-t) - lange; lengre - lengst - lengste
120,langsom,slow,langsom (-t) - langsomme; langsommere - langsomst - langsomste
121,langvarig,long; prolonged,langvarig - langvarige
122,latterlig,ridiculous,latterlig - latterlige; latterligere - latterligst - latterligste
123,lav,low,lav (-t) - lave; lavere - lavest - laveste
124,lei,nasty; wicked,lei (-t) - leie; mer - mest
125,lett,light,lett - lette; lettere - lettest - letteste
126,lik,like; similar,lik (-t) - like; likere - likest - likeste
127,like,equal,like - like
128,lilla,lilac,lilla - lilla; mer - mest
129,liten,small,liten (lite) - lille (små); mindre - minst - minste
130,livsvarig,for life,livsvarig - livsvarige; mer - mest
131,lokalkjent,acquainted with the locality,lokalkjent - lokalkjente; mer - mest
132,lovlig,legal,lovlig - lovlige; mer - mest
133,lydløs,soundless,lydløs (-t) - lydløse; mer - mest
134,mange,many ,mange; flere - flest - fleste
135,mektig,mighty; powerful,mektig - mektige; mektigere - mektigst - mektigste
136,meningsløs,pointless,meningsløs (-t) - meningsløse; mer - mest
137,merkelig,odd; peculiar,merkelig - merkelige; merkeligere - merkeligst - merkeligste
138,midlertidig,temporary,midlertidig - midlertidige; mer - mest
139,modig,brave,modig - modige; modigere - modigst - modigste
140,mørk,dark,mørk (-t) - mørke; mørkere - mørkest - mørkeste
141,morsom,funny,morsom (-t) - morsomme; morsommere - morsomst - morsomste
142,motsatt,opposite,motsatt - motsatte; mer - mest
143,mye,much,mye; mer - mest - meste
144,myk,soft,myk (-t) - myke; mykere - mykest - mykeste
145,nær,"near, intimate, close",nær (-t) - nære; nærmere (nærere) - nærmest (nærest) - nærmeste (næreste)
146,nedskreven,written down,nedskreven (-et) - nedskrevne; mer - mest
147,nødvendig,necessary,nødvendig - nødvendige; mer - mest 
148,nøyaktig,exact; accurate,nøyaktig - nøyaktige; mer - mest
149,ny,new,ny (-tt) - nye; nyere - nyest - nyeste
150,nyttig,helpful,nyttig - nyttige; nyttigere - nyttigst - nyttigste
151,ødelagt,spoiled,
152,offentlig ,public ,offentlig - offentlige; mer - mest
153,øm,"loving, gentle",øm (-t) - ømme; ømmere - ømmest - ømmeste
154,oppsvulmet,swollen,
155,opptatt,busy,opptatt - opptatte; mer - mest 
156,oransje,orange,oransje - oransje; mer - mest
157,ordentlig,"neat, tidy",ordentlig - ordentlige; mer - mest
158,overraskende,surprising,
159,overskyet,cloudy,overskyet - overskyete (-ede); mer - mest
160,perfekt,perfect,perfekt - perfekte; mer - mest
161,pliktig,obligatory,pliktig - pliktige; mer - mest
162,prektig,"noble, splendid",prektig - prektige; prektigere - prektigst - prektigste
163,primært,primarily,primær (-t) - primære; mer - mest
164,ræva,"rotten, stinking",
165,rar,"odd, strange",rar (-t) - rare; rarere - rarest - rareste
166,rask,fast,rask (-t) - raske; raskere - raskest - raskeste
167,redd,frightened; afraid,redd - redde; reddere - reddest - reddeste
168,reell,"real, genuine",reell (-lt) - reelle; mer - mest 
169,ren,clean,ren (-t) - rene; renere - renest - reneste
170,rettferdig,fair,rettferdig - rettferdige; mer - mest
171,rik,rich,rik (-t) - rike; rikere - rikest - rikeste
172,rimelig,reasonable,rimelig - rimelige; rimeligere - rimeligst - rimeligste
173,rød,red,rød (-t) - røde; rødere - rødest - rødeste
174,rolig,quiet; calm,rolig - rolige; roligere - roligst - roligste
175,rosa,pink,rosa - rosa; mer - mest
176,sakte,slow,sakte - sakte; saktere - saktest - sakteste
177,salt,salty,salt - salte; saltere - saltest - salteste
178,selvsagt,obvious,selvsagt - selvsagte; mer - mest
179,selvsikker,confident,selvsikker (-t) - selvsikre; selvsikrere - selvsikrest - selvsikreste
180,selvstendig,intependent,selvstendig - selvstendige; mer - mest
181,sen,"slow, late, delayed",sen (-t) - sene; senere - senest - seneste
182,sikker,safe; secure,sikker (-t) - sikre; sikrere - sikrest - sikreste
183,sinnssyk,insane,sinnssyk (-t) - sinnssyke; mer - mest
184,sjalu,jealous,sjalu - sjalu (sjalue); mer - mest
185,sjenert,shy (people),sjenert - sjenerte; mer - mest
186,skikkelig,"decent, proper",skikkelig - skikkelige; skikkeligere - skikkeligst - skikkeligste
187,skitten,dirty,skitten (-t) - skitne; skitnere - skitnest - skitneste
188,skremmende,scary,
189,slem,naughty,slem (-t) - slemme; slemmere - slemmest - slemmeste
190,sliten,tired,sliten (-t) - slitne; mer - mest
191,sløv,blunt; dull,sløv (-t) - sløve; sløvere - sløvest - sløveste
192,sørgelig,sad,sørgelig - sørgelige; sørgeligere - sørgeligst - sørgeligste
193,sosial,sociable,sosial (-t) - sosiale; mer - mest
194,søt,sweet,søt (-tt) - søte; søtere - søtest - søteste
195,spent,tight; stretched,spent - spente; mer - mest
196,spiss,"sharp, pointed",spiss (-t) - spisse; spissere - spissest - spisseste
197,stadig,steady; constant,stadig - stadige; mer - mest
198,stakkars,poor; unfortunate,stakkars - stakkars; mer - mest
199,stille,quiet,stille - stille; mer - mest
200,stiv,stiff; rigid,stiv (-t) - stive; stivere - stivest - stiveste
201,stor,big,stor (-t) - store; større - størst - største
202,støyende,noisy,
203,stygg,bad; nasty; naughty,stygg (-gt) - stygge; styggere - styggest - styggeste
204,sulten,hungry,sulten (-t) -  sultne; sultnere - sultnest - sultneste
205,sunn,healthy,sunn (-nt) - sunne; sunnere - sunnest - sunneste
206,sur,sour,sur (-t) - sure; surere - surest - sureste
207,svær,heavy; ponderous,svær (-t) - svære; mer - mest
208,svak,weak,svak (-t) - svake; svakere - svakest - svakeste
209,svart,black,svart - svarte; svartere - svartest - svarteste
210,svimmel,dizzy,svimmel (-t) - svimle; mer - mest
211,syk,sick,syk (-t) - syke; sykere - sykest - sykeste
212,synlig,visible; noticeable,synlig - synlige; synligere - synligst - synligste
213,tåpelig,foolish,tåpelig - tåpelige; tåpeligere - tåpeligst - tåpeligste
214,taus,silent,taus (-t) -  tause; tausere - tausest - tauseste
215,tilbakestående,"underdeveloped, remaining",tilbakestående - tilbakestående; mer - mest
216,tjukk,"thick, overweight",tjukk (-t) - tjukke; tjukkere - tjukkest - tjukkeste
217,tøff,tough,tøff (-ft) - tøffe; tøffere - tøffest - tøffeste
218,tom,empty,tom (-t) - tomme; tommere - tommest - tommeste
219,tørr,dry,tørr (-rt) - tørre; tørrere - tørrest - tørreste
220,tørst,thirsty,tørst - tørste; tørstere - tørstest - tørsteste
221,trang,narrow,trang (-t) - trange; trangere - trangest - trangeste
222,treig,"slow, boring",treig (-t) - treige; treigere - treigest - treigeste
223,trett,tired,trett - trette; trettere - trettest - tretteste
224,trist,sad,trist - triste; tristere - tristest - tristeste
225,trøtt,tired,trøtt - trøtte; trøttere - trøttest - trøtteste
226,tung,heavy,tung (-t) - tunge; tyngre - tyngst - tyngste
227,turkis,turquoise,turkis (-t) - turkise; mer - mest
228,tykk,thick,tykk (-kt) - tykke; tykkere - tykkest - tykkeste
229,tynn,thin,tynn (-nt) - tynne; tynnere - tynnest - tynneste
230,uansvarlig,irresponsible,uansvarlig - uansvarlige; mer - mest
231,ubehagelig,unpleasant,ubehagelig - ubehagelige; mer - mest
232,ubrukelig,useless,ubrukelig - ubrukelige; mer - mest
233,udelt,entire; undivided,udelt - udelte; mer - mest
234,uforglemmelig,memorable,uforglemmelig - uforglemmelige; mer - mest
235,uforstyrret,undisturbed,uforstyrret - uforstyrrete (-ede); mer - mest
236,uforutsigbar,unexpected,uforutsigbar (-t) - uforutsigbare; mer - mest
237,ulike,"unlike, different",ulike - ulike; mer - mest
238,umedgjørlig,difficult; stubborn,umedgjørlig - umedgjørlige; mer - mest
239,ung,young,ung (-t) - unge; yngre - yngst - yngste
240,unik,unique,unik (-t) - unike; mer - mest
241,urettferdig,unfair,urettferdig - urettferdige; mer - mest
242,urgammel,ancient,urgammal (-t) - urgamle; mer - mest
243,utenlandsk,foreign,utenlandsk - utenlandske; mer - mest
244,utrolig,incredible,utrolig - utrolige; mer - mest
245,utsatt,postponed,utsatt - utsatte; mer - mest
246,uverdig,"disgraceful, shameful",uverdig - uverdige; mer - mest
247,væpnet,armed,
248,vakker,beautiful,vakker (-t) - vakre; vakrere - vakrest - vakreste
249,vakthavende,on guard,vakthavende - vakthavende; mer - mest
250,vanskelig,difficult,vanskelig - vanskelige; vanskeligere - vanskeligst - vanskeligste
251,varig,lasting; permanent,varig - varige; mer - mest
252,varm,warm,varm (-t) - varme; varmere - varmest - varmeste
253,våt,wet,våt (-tt) - våte; våtere - våtest - våteste
254,vekk,away; gone,
255,vid,wide,vid (-t) - vide; videre - videst - videste
256,viktig,important,viktig - viktige; viktigere - viktigst - viktigste
257,virkelig,"real, actual, effective",virkelig - virkelige; virkeligere - virkeligst - virkeligste
258,vital,vital,vital (-t) - vitale; mer - mest
259,voldelig,violent,voldelig - voldelige; voldeligere - voldeligst - voldeligste
260,voldsom,violent,voldsom (-t) - voldsomme; voldsommere - voldsomst - voldsomste
261,vond,bad,vond (-t) - vonde; verre - verst - verste
262,vrang,"inside out, difficult",vrang (-t) - vrange; mer - mest
263,vrien,difficult; uncooperative,vrien (-t) - vriene; vrienere - vrienest - vrieneste
