ID,N,E,C
126,forgripe,use violence against,forgriper - forgrep - har forgrepet
127,forkjøle,catch a cold,forkjøler - forkjølte - har forkjølt
128,forklare,explain,forklarer - forklarte - har forklart
129,forlate,"leave, forgive",forlater - forlot - har forlatt
130,forlike,"reconcile, compromise",forliker - forlikte - har forlikt
131,fornærme,"offend, insult",fornærmer - fornærmet - har fornærmet
132,fornye,renew,fornyer - fornyet - har fornyet
133,forsikre,assure; insure,forsikrer - forsikret - har forsikret
134,forsove seg,oversleep,forsover - forsov - har forsovet
135,forstå,understand,forstår - forstod - har forstått
136,forstyrre,disturb,forstyrrer - forstyrret - har forstyrret
137,forsvare,defend,forsvarer - forsvarte - har forsvart
138,forsvinne,disappear,forsvinner - forsvant - har forsvunnet
139,fortelle,tell,forteller - fortalte - har fortalt
140,fortsette,continue,fortsetter - fortsatte - har fortsatt
141,forvente,expect,forventer - forventet - har forventet
142,forverre,make worse,forverrer - forverret - har forverret
143,fosse,gush; foam,fosser - fosset - har fosset
144,fotografere,photograph,fotograferer - fotograferte - har fotografert
145,frelse,"save, convert (relig)",frelser - frelste - har frelst
146,fri,propose (marriage),frir - fridde - har fridd
147,friste,tempt,frister - fristet - har fristet
148,fryse,"freeze, be cold",fryser - frøs - har frosset
149,fullføre,"complete, finish",fullfører - fullførte - har fullført
150,fungere,"work, function",fungerer - fungerte - har fungert
151,fyke,drift,fyker - føk - har føket
152,fylle,fill; stuff,fyller - fylte - har fylt
153,gå,go; walk; leave,går - gikk - har gått
154,gale,crow,galer - gol - har galt
155,gape,"gape, yawn; yell",gaper - gapte - har gapt
156,gi,give,gir - ga (gav) - har gitt
157,gidde,to bother to do,gidder - gadd - har giddet
158,gifte,marry,gifter - giftet - har giftet
159,gjelde,to be worth; concern,gjelder - gjaldt - har gjeldt
160,gjemme,"hide, conceal",gjemmer - gjemte - har gjemt
161,gjennomføre,carry through,gjennomfører - gjennomførte - har gjennomført
162,gjenta,repeat,gjentar - gjentok - har gjentatt
163,gjespe,yawn,gjesper - gjespet - har gjespet
164,gjette,guess,gjetter - gjettet - har gjettet
165,gjøre,do,gjør - gjorde - har gjort
166,glede seg,"please, delight; look forward",gleder - gledet - har gledet
167,glemme,forget; omit,glemmer - glemte - har glemt
168,gli,"glide, slip, slide",glir - gled (glei) - har glidd
169,glippe,slip away; blink,glipper - glapp - har glippet
170,gnage,"gnaw, nibble",gnager - gnog - har gnaget (gnagd)
171,gnåle,"nag, fuss",gnåler - gnålte - har gnålt
172,gni,rub,gnir - gned - har gnidd
173,gråte,cry (weep),gråter - gråt - har grått
174,gratulere,congratulate,gratulerer - gratulerte - har gratulert
175,grave,dig,graver - grov - har gravd
176,gre,comb,grer - gredde - har gredd
177,greie,"manage, cope with",greier - greide - har greid
178,grense,border,grenser - grenset - har grenset
179,grille,grill,griller - grillet - har grillet
180,grine,cry; grimace; be grumpy,griner - grein - har grint
181,gripe,"catch, seize, grab",griper - greip (grep) - har grepet
182,grue seg ,be nervous; dread,gruer - grudde (gruet) - har grudd (gruet)
183,gyse,"shudder, shiver",gyser - gjøs - har gyst
184,gyte,"spawn, breed",gyter - gjøt - har gytt
185,gyve,fly,gyver - gjøv - har gjøvet
186,ha,have,har - hadde - har hatt
187,hamstre,"hoard, stock up",hamstrer - hamstret - har hamstret
188,handle,deal; shop; act,handler - handlet - har handlet
189,håpe,hope,håper - håpet - har håpet
190,havne,end up,havner - havnet - har havnet
191,hellige,"hallow, sanctify",helliger - helliget - har helliget
192,hende,"happen, occur",hender - hendte - har hendt
193,henge,hang (be suspended),henger - hang - har hengt
194,henge,hang (suspend),henger - hengte - har hengt
195,hente,"fetch, collect; go for",henter - hentet - har hentet
196,henvende seg,apply (in person),henvender - henvendte - har henvendt
197,hete,be called,heter - het - har hett
198,hilse,greet,hilser - hilste - har hilst
199,hindre,prevent,hindrer - hindret - har hindret
200,hive,heave,hiver - hev - har hivd (hevet)
201,hjelpe,help,hjelper - hjalp - har hjulpet
202,hogge,"cut, chop",hogger - hogg - har hogd
203,holde,hold,holder - holdt - har holdt
204,hoppe,"jump, leap",hopper - hoppet - har hoppet
205,høre,hear,hører - hørte - har hørt
206,hoste,cough,hoster - hostet - har hostet
207,høste,harvest,høster - høstet - har høstet
208,huske,remember,husker - husket - har husket
209,hvile,rest,hviler - hvilte - har hvilt
210,hviske,whisper,hvisker - hvisket - har hvisket
211,hygge,comfort; enjoy oneself,hygger - hygget - har hygget
212,innebære,"involve, imply",innebærer - innebar - har innebåret
213,inneholde,contain ,inneholder - inneholdt - har inneholdt
214,innføre,import; bring in,innfører - innførte - har innført
215,innhente,"overtake; obtain, get",innhenter - innhentet - har innhentet
