ID,N,E,C
548,tulle,"joke, talk nonsense",tuller - tullet - har tullet
549,tvile,doubt,tviler - tvilte - har tvilt
550,tvinge,"force, compel",tvinger - tvang - har tvunget
551,tvinne,twist,tvinner - tvinnet - har tvunnet
552,tyste,inform,tyster - tystet - har tystet
553,ulme,smoulder,ulmer - ulmet - har ulmet
554,underskrive,sign,underskriver - underskrev - har underskrevet
555,undersøke,"examine, investigate",undersøker - undersøkte - har undersøkt
556,unnfange,conceive,unnfanger - unnfanget - har unnfanget
557,unnskylde,excuse,unnskylder - unnskyldte - har unnskyldt
558,utarbeide,"prepare, work out",utarbeider - utarbeidet - har utarbeidet
559,utbytte,exploit,utbytter - utbyttet - har utbyttet
560,utdanne,"educate, train",utdanner - utdannet - har utdannet
561,utføre,"export, perform",utfører - utførte - har utført
562,utnytte,"make use of, exploit",utnytter - utnyttet - har utnyttet
563,utrydde,"eliminate, wipe out",utrydder - utryddet - har utryddet
564,utslå,hanging down,utslår - utslo - har utslått
565,uttrykke,express,uttrykker - uttrykte - har uttrykt
566,være,be,er - var - har vært
567,våkne,wake up,våkner - våknet - har våknet
568,validere,validate,validerer - validerte - har validert
569,varme,warm,varmer - varmet - har varmet
570,vaske,wash,vasker - vasket - har vasket
571,veie,weigh; carry weight,veier - veide - har veid
572,vekke,wake someone up,vekker - vekket - har vekket
573,velge,"choose, elect",velger - valgte - har valgt
574,vente,wait,venter - ventet - har ventet
575,verge,defend; protect,verger - verget - har verget
576,verne,"preserve, defend",verner - vernet - har vernet
577,vike,"yield, give away",viker - vek (veik) - har veket
578,ville,"will, wish, want",vil - ville - har villet
579,vinke,wave,vinker - vinket - har vinket
580,vinne,"gain, win",vinner - vant - har vunnet
581,virke,seem; work (function),virker - virket - har virket
582,vise,show,viser - viste - har vist
583,viske,rub,visker - visket - har visket
584,vite,know (knowledge),vet - visste - har visst
585,vokse,"grow, increase",vokser - vokset - har vokset
586,voldta,rape,voldtar - voldtok - har voldtatt
587,vri ,"twist, screw, bend",vrir - vred - har vridd
588,vrikke,"turn, twist",vrikker - vrikket - har vrikket
589,vurdere,"estimate, assess",vurderer - vurderte - har vurdert
