ID,N,E,C
92,plikt,"obligation, duty",en/ei plikt - plikten (plikta) - plikter - pliktene
93,plyndring,"robbery, rifling",en/ei plyndring - plyndringen (plyndringa) - plyndringer - plyndringene
94,politimann,policeman,en politimann - politimannen - politimenn - politimennene
95,postbud,postman,et postbud - postbudet - postbud (postbuda) - postbudene
96,prat,talk; chat,en/et prat - praten (pratet) - prater (prat) - pratene (prata)
97,professor,professor,en professor - professoren - professorer - professorene
98,punktlighet,punctuality,
99,raseri,"rage, fury",et raseri  - raseriet - raserier (raseri) - raseriene (raseria)
100,regjering,government,en/ei regjering - regjeringen (regjeringa) - regjeringer - regjeringene
101,rettferdighet,"justice, fairness",en/ei rettferdighet - rettferdigheten (rettferdighet) - rettferdigheter - rettferdighetene
102,rykte,rumour,et rykte - ryktet - rykter - ryktene (rykta)
103,samtale,"conversation, talk",en samtale - samtalen - samtaler - samtalene
104,sannhet,truth,en/ei sannhet - sannheten (sannheta) - sannheter - sannhetene
105,selskap,"company, society",et selskap - selskapet - selskaper (selskap) - selskapene (selskapa)
106,selvtillit,confidence,en/ei selvtillit - selvtilliten (selvtillita) - selvtilliter - selvtillitene
107,sinn,"mind, temper",et sinn - sinnet - sinn - sinnene (sinna)
108,sinne,anger,et sinne - sinnet - sinner - sinnene (sinna)
109,sjakk,chess,en sjakk - sjakken - sjakker - sjakkene
110,skam,shame,en/ei skam - skammen (skamma) - skammer - skammene
111,skikk,custom,en skikk - skikken - skikker - skikkene
112,skrekk,fright; terror,en skrekk - skrekken - skrekker - skrekkene
113,skrik,"cry, call",et skrik - skriket - skrik - skrikene (skrik a)
114,skuffelse,disappointment,en skuffelse - skuffelsen - skuffelser - skuffelsene
115,skyld,guilt,en/ei skyld - skylden (skylda) - skylder - skyldene
116,sliter,hard worker,en sliter - sliteren - slitere - sliterne
117,sønn,son,en sønn - sønnen - sønner - sønnene
118,søsken,brother or sister,et søsken - søskenet - søsken - søsknene (søskena)
119,søskenbarn,cousin,et søskenbarn - søskenbarnet - søskenbarn - søskenbarnene (søskenbarna)
120,spill,game,et spill - spillet - spill - spillene (spilla)
121,spiller,player, en spiller - spilleren - spillere - spillerne
122,stolthet,pride, en/ei stolthet - stoltheten (stoltheta) - stoltheter - stolthetene
123,straff,"punishment, penalty",en straff - straffen - straffer - straffene
124,styrke,strength,en styrke - styrken - styrker - styrkene
125,svada,nonsense,en svada - svadaen - svadaer - svadaene
126,svakhet,weakness, en/ei svakhet - svakheten (svakheta) - svakheter - svakhetene
127,svigersønn,son in law,en svigersønn - svigersønnen - svigersønner - svigersønnene
128,svikt,weakness,en svikt - svikten - svikter - sviktene
129,sydame,dressmaker,en/ei sydame - sydamen (sydama) - sydamer - sydamen
130,sykepleier,nurse,en sykepleier - sykepleieren - sykepleiere - sykepleierne
131,synd,pity,en/ei synd - synden (synda) - synder - syndene
132,takknemlighet,gratitude,en/ei takknemlighet - takknemligheten (takknemligheta) - takknemligheter - takknemlighetene
133,tålmodighet,patience,en/ei tålmodighet - tålmodigheten (tålmodigheta) - tålmodigheter - tålmodighetene
134,tanke,thought,en tanke - tanken - tanker - tankene
135,tannlege,dentist,en tannlege - tannlegen - tannleger - tannlegene
136,tante,aunt,en/ei tante - tanten (tanta) - tanter - tantene
137,taushetsplikt,professional secrecy,en/ei taushetsplikt - taushetsplikten (taushetsplikta) - taushetsplikter - taushetspliktene
138,tenåring,teenager,en tenåring - tenåringen - tenåringer - tenåringene
139,tilfeldighet,coincidence,en/ei tilfeldighet - tilfeldigheten (tilfeldigheta) - tilfeldigheter - tilfeldighetene
140,tilgivelse,forgiveness,en tilgivelse - tilgivelsen - tilgivelser - tilgivelsene
141,tillit,confidence,en/ei tillit - tilliten (tillita) - tilliter - tillitene
142,tilstand,condition,en tilstand - tilstanden - tilstander - tilstandene
143,tretthet,tiredness, en/ei tretthet - trettheten (trettheta) - trettheter - tretthetene
144,tristhet,sadness,en/ei tristhet - tristheten (tristheta) - tristheter - tristhetene
145,tross,defiance,en tross - trossen - trosser - trossene
146,trussel,threat,en trussel - trusselen - trusler - truslene
147,tviler,sceptic,en tviler - tvileren - tvilere - tvilerne
148,tvilling,twin,en tvilling - tvillingen - tvillinger - tvillingene
149,tyveri,theft,et tyveri - tyveriet - tyverier (tyveri) - tyveriene
150,uenighet,disagreement,en/ei uenighet - uenigheten (uenigheta) - uenigheter - uenighetene
151,uhell,accident,et uhell - uhellet - uhell - uhellene (uhella)
152,underholdning,entertainment,en/ei underholdning - underholdningen (underholdninga) - underholdninger - underholdningene
153,urettferdighet,"injustice, unfairness",en/ei urettferdighet - urettferdigheten (urettferdighet) - urettferdigheter - urettferdighetene
154,uskyld,innocence,en/ei uskyld - uskylden (uskylda) - uskylder - uskyldene
155,utålmodighet,impatience, en/ei utålmodighet - utålmodigheten (utålmodigheta) - utålmodigheter - utålmodighetene
156,utdannelse,education,en utdannelse - utdannelsen - utdannelser - utdannelsene
157,uvenn,enemy,en uvenn - uvennen - uvenner - uvennene
158,vane,habit,en vane - vanen - vaner - vanene
159,veiviser,guide,en veiviser - veiviseren - veivisere - veiviserne
160,venn,friend,en venn - vennen - venner - vennene
161,vennskap,friendship,et vennskap - vennskapet - vennskap - vennskapene (vennskapa)
162,verge,charge; trust,en verge - vergen - verger - vergene
163,vertskap,host and hostess,et vertskap - vertskapet - vertskaper (vertskap) - vertskapene (vertskapa)
164,vikariat,job as a substitute,et vikariat - vikariatet - vikariater (vikariat) - vikariatene (vikariata)
165,viktighet,importance, en/ei viktighet - viktigheten (viktigheta) - viktigheter - viktighetene
166,vitenskap,science,en vitenskap - vitenskapen - vitenskaper - vitenskapene
167,voksenopplæring,adult education,en/ei voksenopplæring - voksenopplæringen (voksenopplæringa) - voksenopplæringer - voksenopplæringene
168,vokter,keeper; guard,en vokter - vokteren - voktere - vokterne
169,vold,violence,en vold - volden - volder - voldene
